Autobesitz,Autoleistung,Zeitkarte,Fuehrerschein,Autozugang,Fahrradzugang,Gegenstandstransport,Personentransport,Campusbewohner,PLZ,Geschlecht,Alter,Haushalt,Kinder,Bildungsabschluss,Bildungsabschluss2,Einkommen,SD18_01,Gruppe,Taetigkeit_2019,V903_01,V903_02,V903_03,V903_04,V903_05,V903_06,V903_07,V903_08,V903_09,V904,V904x01,V904x02,V905,Sharing_2019,Sharing_2019_Carsharing,Sharing_2019_Bikesharing,Sharing_2019_Roller,Sharing_2019_andere,Sharing_2019_nein,V001,V003_01,V003_02,V003_03,V003_04,V003_05,V003_06,V003_07,V003_08,V003_09,V004,V004x01,V004x02,V004x03,V005,V007_CN,Sharing_2020,Sharing_2020_Carsharing,Sharing_2020_Bikesharing,Sharing_2020_Roller,Sharing_2020_andere,Sharing_2020_nein,Entfernung_Wohnort_Campus,Bereitschaft_Sharing,Anzahl_Anforderungen_Sharing,Anforderungen1,Anforderungen2,Anforderungen3,Anforderungen4,Anforderungen5,Anforderungen6,Anforderungen7,Anforderungen8,Anforderungen9,Anzahl_gewaehlter_Sharing_Verkehrsmittel,desired_Sharing_Autos,desired_Sharing_Fahrräder,desired_Sharing_Lastenräder,desired_Sharing_Roller,desired_Sharing_Sonstige,desired_Sharing_Sonstige_open,Bereitschaft_Sharing2
31,3,2,1,4,4,2,2,2,807,2,2,1,2,8,,6,,4,1,71,13,34,8,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,13,1,3,Kostengünstig,Keine festen Abstellstationen,Ausreichende Verfügbarkeit,,,,,,,2,1,2,1,2,1,,1
32,1,2,1,4,4,3,3,1,75,2,1,,,7,,4,,2,2,,,,,,,,,,,,,,,,,,,,1,101,-9,1,-9,-9,-9,-9,1,-9,0,,,,2,1,1,1,1,1,1,2,380,4,3,Günstig ,Flexibel,Unproblematisch ,,,,,,,1,2,1,1,1,1,,1
32,1,2,1,4,1,1,2,2,806,1,6,3,2,8,,7,,6,1,90,9,1,1,1,1,1,1,1,0,,,4,1,1,1,1,1,2,,101,1,1,1,1,1,1,1,1,0,,,,2,1,1,1,1,1,1,2,20,4,1,Unkomplizierte Nutzung,,,,,,,,,2,1,2,1,2,1,,1
1,,1,1,2,1,3,1,1,426,1,2,,,7,,6,,1,2,,,,,,,,,,,,,,,,,,,,1,15,14,1,82,1,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,650,5,1,Auto müsste getankt und sauber sein,,,,,,,,,1,2,1,1,1,1,,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9
32,1,2,1,4,4,3,2,1,855,1,2,,,7,,6,,1,1,21,2,2,91,1,1,91,1,1,0,,,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,400,1,4,Günstig,Flexibel,Qualitativ hochwertig,Vorhandensein einer gewissen Auswahl ,,,,,,3,2,1,2,2,1,,1
32,3,2,1,4,3,2,2,2,855,1,6,4,1,8,,7,,6,1,80,-9,-9,24,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,17,4,0,,,,,,,,,,1,2,1,1,1,1,,1
32,6,2,1,4,1,2,1,2,855,2,9,2,2,8,,10,"Man sollte bei allem beachten, dass es Millionen von Bürgerinnen und Bürgern gibt, die eigene Autos mit Emotionen, Lebensstil und Freude am Fahren verbinden. Mittlerweile sind die Verbrennungsmotoren extrem sauber und es ist wissenschaftlich nachgewiesen, dass sich E-Fahrzeuge seitens der CO2-Bilanz erst nach Laufleistungen, die weit über 100000 km liegen, amortisieren. Ich persönlich liebe schicke und sportliche Autos, fahre extrem gerne Auto (auch wenn ich mal im Stau stehe), mache auf der andeen Seite aber auch seit Jahrzehnten extrem viel Sport (Laufen, Muskeltraining und Bergsteigen) und dies zu jeder Jahreszeit bei jedem Wetter. Die aktuellen E-Fahrzeuge sind von der Reichweite her Stadtfahrzeuge und nicht mehr. Mit einem E-Fahrzeug ist es kaum möglich, im Winter mit Licht und Heizung oder im Hochsommer mit laufender Klimaanlage an einem Tag von München ins Stubaital und zurück zu fahren. Dies ginge höchstens mit einem Tesla-S mit dem 100 kWh Akku, dessen gewicht bei etwa 1000 kg liegt. Die Angaben der Reichweiten von E-Fahrzeugen gelten immer nur bei extrem optimierter Fahrweise. Die Politik führt mit ihren unsinnigen Aussagen und physikalisch kaum begründbaren Vorgaben die Fahrzeugindustrie auf vollkommen falsche Gleise. E-Fahrzeuge werden erst attraktiv und zu ernstzunehmenden Alternativen, wenn ihre Rechweite auch bei sportlicher Fahrweise und Minustemperaturen bei 600 km bis 800 km liegt und somit mit durch Verbrennungsmotoren angetriebenen Fahrzeugen vergleichbar ist. Auch die langen Ladezeiten sind unvertretbar. Wenn man zuhause einen Testla mit dem 100 kWh-Akku mit einer elektrischen Leistung von 10 kW laden kann, würde es 10 Stunden dauern, bis der Akku gefüllt ist. 
Ein anderes Problem betrifft die in Deutschland zur Verfügung stehende elektrische Energie. Man kann nachlesen, welche Menge an konventionellen Kraftstoffen pro Jahr in Deutschland in Kraftfahrzeugen verbraucht wird (PKW, LKW, Motorräder, Landwirtschafts- und Baumaschinen, etc.). Mit dieser Info und dem Heizwert von Benzin und Diesel kann man die gesamte für den Verkehr benötigte Energie ausrechnen. Wenn man den Wirkungsgrad der Verbrennungsmotoren sowie den höheren Wirkungsgrad der E-Motoren korrekt berücksichtigt, kann man mit einfacher Dreisatzrechnung abschätzen, dass die in Deutschland pro Jahr benötigte elektrische Energie bezogen auf den aktuellen Stand in etwa verdoppelt werden müsste. Dies muss man den Politikern und den Menschen auch mal vermitteln. In der Politik fehlen an vielen zentralen Stellen einfach Ingenieure mit Sachverstand. ",5,1,99,-1,-9,1,-9,1,-9,-9,-1,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,4,5,1,"Ich würde dieses Angebot unabhängig davon, was angeboten wird, nicht nutzen",,,,,,,,,1,1,1,1,1,2,Ich würde dieses Angebot nicht nutzen,0
21,,2,1,4,4,2,3,2,823,2,2,2,2,8,,6,,1,1,64,70,-1,5,-9,-9,-1,-1,-1,0,,,2,1,1,1,1,1,2,,21,31,-9,-9,-9,-9,1,-9,-9,0,,,,1,1,1,1,1,1,1,2,49,5,1,"Flatrate, regelmäßige Wartung, sauber, ",,,,,,,,,2,1,2,2,1,1,,0
1,,2,2,1,1,3,1,1,277,2,2,,,8,,6,,1,1,-9,-9,-9,99,-9,-9,-9,-9,-9,0,,,2,1,1,1,1,1,2,,-9,-9,-9,101,-9,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,800,4,2,Verfügbarkeit,Angemessenes Preis-Leistungs-Verhältnis,,,,,,,,1,2,1,1,1,1,,1
1,,,,,,,,,,,,,,,,,,,1,6,21,1,78,1,1,1,1,1,0,,,5,1,1,1,1,1,2,,1,84,1,25,1,1,1,1,1,0,,,,4,1,1,1,1,1,1,2,,1,1,"- günstig, hohe Verfügbarkeit",,,,,,,,,3,1,2,2,2,1,,1
31,6,2,1,4,3,3,2,2,820,2,9,1,2,3,,6,,6,1,101,-9,-9,-9,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,6,4,1,"Verfügbarkeit, einfaches Buchen (Chipkarte), Nutzung auch für den Arbeitsweg(6km), nutzbar für kleine Besorgungsfahrten",,,,,,,,,1,1,1,1,2,1,,1
1,,2,1,1,4,1,1,2,855,2,1,3,2,7,,4,,2,1,-9,21,-1,74,-9,-9,-9,-9,-9,0,,,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,5,1,2,günstig,hohe Verfügbarkeit,,,,,,,,1,1,2,1,1,1,,1
32,1,2,1,4,4,2,1,2,817,2,2,1,2,8,,6,,4,1,-9,-9,-9,-9,101,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,-9,-9,-9,-9,101,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,4,1,0,,,,,,,,,,0,1,1,1,1,1,,1
33,3,2,1,4,4,3,2,1,826,2,6,,,7,,6,,6,1,101,-9,-9,-9,-9,-9,-9,-9,-9,0,,,2,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,50,1,0,,,,,,,,,,2,2,2,1,1,1,,1
31,2,2,1,4,4,3,3,1,533,2,2,,,8,,6,"Radius wie groß
",1,1,4,19,1,1,87,53,12,51,-9,0,,,2,1,1,1,1,1,2,,47,1,1,48,101,55,8,2,-9,0,,,,2,1,2,2,1,1,1,1,560,1,3,"Es sollten keine rein Batterie betrieben Autos sein, eine ",Brennstoffzellen-Technologie sollte bei einem elektrischen ,Fahrzeug verbaut sein. Ein großer Umkreis wäre wünschenwert,,,,,,,2,1,2,1,2,1,,1
32,2,2,1,4,3,4,3,1,418,1,2,,,7,,6,,1,1,75,27,1,27,69,77,1,1,1,0,,,2,1,1,1,1,1,2,,84,46,2,45,-9,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,650,4,3,Günstig,Praktisch,Genug von vorhanden,,,,,,,2,1,2,2,1,1,,1
32,2,2,1,3,4,2,1,2,855,1,2,1,2,8,,6,,4,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,1,1,"Verlässlichkeit, Effizienz",,,,,,,,,1,1,2,1,1,1,,1
32,1,2,1,4,4,1,1,2,857,2,6,5,1,8,,9,,5,1,101,-9,-9,-9,-1,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,92,-9,-9,-9,9,-9,-9,-9,-9,0,,,,5,1,1,1,1,1,1,2,21,4,1,Kurze Wege,,,,,,,,,2,2,2,1,1,1,,1
32,1,2,1,4,4,2,1,2,815,2,2,2,2,8,,6,,4,1,37,-9,39,-9,38,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,6,1,1,Es müsste nicht mehr kosten als mein eigenes Gerät.,,,,,,,,,1,2,1,1,1,1,,1
34,-1,2,1,4,1,3,3,2,855,2,9,3,1,10,Promotion,9,"Es ist eine Schande, dass eine Universität wie unsere immer noch keine Lademöglichkeiten besitzt. 
Ja, ich kenne die ""Steckdose"" bei der Paus und die nicht nutzbaren Lademöglichkeiten am Prüfungsamt. ",5,1,101,11,-9,-9,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,100,8,-9,-9,-9,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,5,5,0,,,,,,,,,,0,1,1,1,1,1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9
1,,,,,,,,,,,,,,,,,,,1,-9,52,-9,99,-9,-9,-9,-9,-9,0,,,2,1,1,1,1,1,2,,-9,8,-9,20,-9,-9,-9,-9,-9,0,,,,1,1,1,1,1,1,1,2,,4,1,flexible Verfügbarkeit,,,,,,,,,2,1,2,1,1,2,Fahrgemeinschaft,1
32,6,2,1,4,4,4,1,1,913,2,2,,,7,,6,,1,2,,,,,,,,,,,,,,,,,,,,1,83,-9,-9,16,-9,7,-9,-9,-9,0,,,,2,1,1,1,1,1,1,2,215,4,1,Attraktives Angebot (Preis-Leistung) ,,,,,,,,,3,2,2,1,2,1,,1
32,2,2,1,4,4,3,1,2,856,2,6,2,2,8,,6,,4,2,,,,,,,,,,,,,,,,,,,,1,82,1,-9,-9,87,-9,-9,-9,-9,0,,,,4,1,1,1,1,1,1,2,24,5,1,"Qualität, Verfügbarkeit, Einfachheit",,,,,,,,,2,2,1,2,1,1,,0
31,3,2,1,4,3,2,2,2,856,2,6,4,1,10,Diplom,7,,3,1,101,-9,-9,-9,-9,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,31,5,1,"Einfachheit der Zugänglichkeit/Verfügbarkeit, minimal bürokratischer Aufwand",,,,,,,,,2,2,1,1,2,1,,0
21,,1,1,2,3,2,1,1,,2,2,,,7,,4,,1,2,,,,,,,,,,,,,,,,,,,,1,6,1,-9,96,-9,-9,-9,-9,-9,0,,,,2,1,1,1,1,1,1,2,680,4,4,"schnell, einfach, unkompliziert",günstig,ausreichende Versicherung des Geräts,"das ""FitX"" müsste im Radius liegen :D",,,,,,3,2,2,1,2,1,,1
31,3,2,1,4,4,2,1,2,,2,6,2,2,8,,7,,6,1,48,34,-9,-9,28,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,18,1,0,,,,,,,,,,2,2,2,1,1,1,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9
31,2,2,1,3,3,3,3,2,836,1,6,5,1,8,,6,,4,1,62,62,-1,58,-1,-9,24,39,-9,0,,,5,2,2,1,1,1,2,,60,-9,1,28,58,1,28,39,-9,0,,,,4,1,1,1,1,1,1,2,35,1,2,Entnahme und Abholung an verschiedenen standorten,Ausleihe über Nacht/ mehrere Tage ,,,,,,,,3,2,2,1,2,1,,1
32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9
31,3,2,1,4,4,2,1,2,855,1,9,1,2,4,,6,,6,1,90,-9,-9,18,58,-9,-9,-9,-9,0,,,5,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,6,1,0,,,,,,,,,,2,1,2,2,1,1,,1
32,3,2,1,4,4,2,1,1,855,2,2,,,8,,7,,1,1,39,-9,-9,23,72,71,-9,65,-9,0,,,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,400,5,0,,,,,,,,,,1,1,1,1,2,1,,0
32,4,1,1,4,1,3,1,2,687,1,6,4,1,8,,9,,5,1,-9,86,-9,101,-9,48,-9,-9,-9,0,,,2,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,300,4,0,,,,,,,,,,1,1,2,1,1,1,,1
32,1,1,1,4,4,2,1,2,813,1,2,2,2,10,MSc,6,,4,1,67,2,1,72,1,1,1,1,1,0,,,5,1,1,1,1,1,2,,69,2,2,30,1,1,1,1,2,0,,,,2,1,1,1,1,1,1,2,17,4,4,einfache und schnelle Nutzbarkeit (Userfreundlich ohne Anmeldung bzw. eine App o.Ä. für alle Verkehrsmittel),Kostengünstig,"klare Standortübersicht, wo ist gerade welches Verkehrsmittel verfügbar",Reservierungsmöglichkeit,,,,,,2,1,2,1,2,1,,1
32,5,1,1,4,4,3,1,2,814,2,9,5,1,10,Habilitation,9,,5,1,25,2,1,80,1,1,2,3,2,1,,"U-Bahn, Bus",5,2,2,1,1,1,1,,96,1,1,13,2,2,1,2,2,0,,,,4,1,1,1,1,1,1,2,20,1,1,,"gute Verfügbarkeit, wenig eingeschränkte Abstellmöglichkeiten",,,,,,,,3,2,2,1,2,1,,1
