zeit,zaehlstelle,gesamt
2017-06-02 08:00:00,Erhardt,585
2017-06-02 08:00:00,Hirsch,317
2017-06-02 08:00:00,Kreuther,52
2017-06-02 08:00:00,Margareten,460
2017-06-02 08:00:00,Olympia,234
2017-06-02 09:00:00,Arnulf,219
2017-06-02 09:00:00,Erhardt,516
2017-06-02 09:00:00,Hirsch,209
2017-06-02 09:00:00,Kreuther,26
2017-06-02 09:00:00,Margareten,336
2017-06-02 09:00:00,Olympia,197
2017-06-02 10:00:00,Arnulf,85
2017-06-02 10:00:00,Erhardt,284
2017-06-02 10:00:00,Hirsch,65
2017-06-02 10:00:00,Kreuther,12
2017-06-02 10:00:00,Margareten,256
2017-06-02 10:00:00,Olympia,95
2017-06-02 11:00:00,Arnulf,118
2017-06-02 11:00:00,Erhardt,230
2017-06-02 11:00:00,Hirsch,51
2017-06-02 11:00:00,Kreuther,13
2017-06-02 11:00:00,Margareten,244
2017-06-02 11:00:00,Olympia,85
2017-06-02 12:00:00,Arnulf,93
2017-06-02 12:00:00,Erhardt,244
2017-06-02 12:00:00,Hirsch,70
2017-06-02 12:00:00,Kreuther,6
2017-06-02 12:00:00,Margareten,198
2017-06-02 12:00:00,Olympia,115
2017-06-02 13:00:00,Arnulf,77
2017-06-02 13:00:00,Erhardt,233
2017-06-02 13:00:00,Hirsch,76
2017-06-02 13:00:00,Kreuther,22
2017-06-02 13:00:00,Margareten,127
2017-06-02 13:00:00,Olympia,88
2017-06-02 14:00:00,Arnulf,89
2017-06-02 14:00:00,Erhardt,245
2017-06-02 14:00:00,Hirsch,93
2017-06-02 14:00:00,Kreuther,11
2017-06-02 14:00:00,Margareten,169
2017-06-02 14:00:00,Olympia,109
2017-06-02 15:00:00,Arnulf,103
2017-06-02 15:00:00,Erhardt,290
2017-06-02 15:00:00,Hirsch,107
2017-06-02 15:00:00,Kreuther,37
2017-06-02 15:00:00,Margareten,213
2017-06-02 15:00:00,Olympia,130
2017-06-02 16:00:00,Arnulf,139
2017-06-02 16:00:00,Erhardt,345
2017-06-02 16:00:00,Hirsch,145
2017-06-02 16:00:00,Kreuther,29
2017-06-02 16:00:00,Margareten,218
2017-06-02 16:00:00,Olympia,150
2017-06-02 17:00:00,Arnulf,171
2017-06-02 17:00:00,Erhardt,455
2017-06-02 17:00:00,Hirsch,210
2017-06-02 17:00:00,Kreuther,34
2017-06-02 17:00:00,Margareten,293
2017-06-02 17:00:00,Olympia,190
2017-06-02 18:00:00,Arnulf,164
2017-06-02 18:00:00,Erhardt,529
2017-06-02 18:00:00,Hirsch,158
2017-06-02 18:00:00,Kreuther,44
2017-06-02 18:00:00,Margareten,314
2017-06-02 18:00:00,Olympia,244
2017-06-02 19:00:00,Arnulf,142
2017-06-02 19:00:00,Erhardt,430
2017-06-02 19:00:00,Hirsch,126
2017-06-02 19:00:00,Kreuther,17
2017-06-02 19:00:00,Margareten,235
2017-06-02 19:00:00,Olympia,159
2017-06-02 20:00:00,Arnulf,69
2017-06-02 20:00:00,Erhardt,333
2017-06-02 20:00:00,Hirsch,103
2017-06-02 20:00:00,Kreuther,17
2017-06-02 20:00:00,Margareten,192
2017-06-02 20:00:00,Olympia,191
2017-06-02 21:00:00,Arnulf,74
2017-06-02 21:00:00,Erhardt,202
2017-06-02 21:00:00,Hirsch,68
2017-06-02 21:00:00,Kreuther,9
2017-06-02 21:00:00,Margareten,97
2017-06-02 21:00:00,Olympia,81
2017-06-02 22:00:00,Arnulf,54
2017-06-02 22:00:00,Erhardt,177
2017-06-02 22:00:00,Hirsch,34
2017-06-02 22:00:00,Kreuther,5
2017-06-02 22:00:00,Margareten,82
2017-06-02 22:00:00,Olympia,73
2017-06-02 23:00:00,Arnulf,51
